,toxic,severe_toxic,obscene,threat,insult,identity_hate,mean
VERY,0.11494739727995301,0.0,0.03206106539339234,0.0,0.03206106539339234,0.0,0.029844921344456283
GOOD,0.1164827047251245,0.0,0.0497267684775543,0.0,0.0497267684775543,0.0,0.035989373613372184
ASSERT,0.13636362086777037,0.0,0.0,0.0,0.0,0.0,0.022727270144628397
CONSTANTLY,0.2138846192910552,0.0,0.2138846192910552,0.0,0.0,0.0,0.0712948730970184
THESE,0.2136348038250799,0.0,0.0824763053873514,0.0,0.0824763053873514,0.0824763053873514,0.07684395333118903
EXIST,0.1023748479884156,0.0,0.0,0.0,0.1023748479884156,0.0,0.03412494932947187
WARNING,0.5573302511045568,0.0,0.1023748479884156,0.1023748479884156,0.1023748479884156,0.1023748479884156,0.1611382738430365
DONT,0.2138846192910552,0.0,0.0,0.0,0.0,0.0,0.0356474365485092
OBVIOUSLY,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0,5000000.0
STUPID,10000000.0,0.5999999040000155,1.791321582976602,0.0,10000000.0,0.0,3333333.7318869145
BEAR,0.2138846192910552,0.0,0.2138846192910552,0.0,0.2138846192910552,0.0,0.1069423096455276
DELETE,0.0641707868418853,0.0,0.0641707868418853,0.0,0.0,0.0,0.021390262280628434
META,0.13636362086777037,0.0,0.0,0.0,0.0,0.0,0.022727270144628397
MEOW,10000000.0,0.0,10000000.0,0.0,10000000.0,10000000.0,6666666.666666667
YOUR,0.19435360580671468,0.01657089925269743,0.12010844913379927,0.01657089925269743,0.09748342472879436,0.03534720527501872,0.08007241390828698
LAME,0.33333328888889485,0.0,0.0,0.0,0.0,0.0,0.05555554814814914
SOCIAL,0.13636362086777037,0.0,0.0,0.0,0.0,0.0,0.022727270144628397
DELETION,0.09129814155210808,0.0,0.09129814155210808,0.0,0.0,0.0,0.030432713850702692
KILL,0.5999999040000155,0.0,0.16515733592606066,0.0,0.16515733592606066,0.16515733592606066,0.1825786519630329
STOP,0.19047616780045623,0.07526880911088075,0.07526880911088075,0.07526880911088075,0.07526880911088075,0.0,0.0819252340406632
DECK,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0,5000000.0
HISTORY,0.06926090269508133,0.0,0.06926090269508133,0.0,0.0,0.0,0.02308696756502711
KNOW,0.053198070915523886,0.0,0.0,0.0,0.024392281426468033,0.0,0.012931725390331987
DEAD,0.5573302511045568,0.0,0.28399041180894713,0.0,0.1023748479884156,0.1023748479884156,0.17434505981505585
SORRY,0.30249004897486614,0.0,0.06926090269508133,0.06926090269508133,0.06926090269508133,0.06926090269508133,0.09658894329253191
ARTICLE,0.03818256077117867,0.0,0.017835130560522043,0.0,0.0,0.0,0.009336281888616784
SECOND,0.2136348038250799,0.0,0.0824763053873514,0.0,0.0,0.0,0.04935185153540522
FRENCH,0.0,0.0,0.0,0.0,10000000.0,0.0,1666666.6666666667
PISSED,10000000.0,0.0,0.33333328888889485,0.0,0.0,0.0,1666666.7222222148
ISLAM,0.33333328888889485,0.0,0.0,0.0,0.0,0.0,0.05555554814814914
BLOCK,0.22695879161340196,0.0,0.05600289191486815,0.0,0.05600289191486815,0.0,0.05649409590718971
DOES,0.07737406155525375,0.0,0.03449049975373321,0.0,0.03449049975373321,0.0,0.02439251017712003
LAST,0.28399041180894713,0.0,0.1023748479884156,0.1023748479884156,0.1023748479884156,0.1023748479884156,0.11558163396043492
VIETNAM,0.0,0.0,0.0,0.0,10000000.0,0.0,1666666.6666666667
THEIR,0.1709085233396293,0.0,0.0,0.0,0.0,0.0,0.02848475388993822
PEOPLE,0.130955755349796,0.0,0.08073709902091791,0.0,0.08073709902091791,0.0,0.04873832556527197
ASSHOLE,10000000.0,0.33333328888889485,10000000.0,0.0,0.33333328888889485,0.0,3333333.4444444296
SHOULD,0.16945845290612696,0.0,0.058128919459566615,0.0,0.058128919459566615,0.026496679091061976,0.05203549515272036
WORLD,0.09129814155210808,0.0,0.0,0.0,0.24358526492239824,0.0,0.055813901079084384
ABOUT,0.12862995835189595,0.0,0.07160358959064163,0.0,0.021062336115333893,0.021062336115333893,0.04039303669553423
THEN,0.130955755349796,0.0,0.03585260615539858,0.0,0.03585260615539858,0.0,0.033776827943432196
ELSE,0.1023748479884156,0.0,0.1023748479884156,0.0,0.0,0.0,0.03412494932947187
FUCKING,10000000.0,0.0,10000000.0,0.0,0.33333328888889485,0.33333328888889485,3333333.444444429
THEM,0.15688540761372055,0.0,0.0,0.0,0.0,0.0,0.026147567935620092
JUST,0.06985818197755338,0.0,0.04443942970717806,0.0,0.04443942970717806,0.0,0.02645617356531825
ANTI,0.4327065883730565,0.0,0.13636362086777037,0.0,0.13636362086777037,0.13636362086777037,0.14029957516272792
COMMENT,0.22695879161340196,0.0,0.1336099146704784,0.0,0.05600289191486815,0.05600289191486815,0.07876241501893612
AROUND,0.19047616780045623,0.07526880911088075,0.07526880911088075,0.0,0.07526880911088075,0.0,0.06938043252218308
THAT,0.0931803199126891,0.0,0.06303548999604543,0.008017746774576798,0.053377624595223085,0.02554808522208665,0.04052654441677017
PAGE,0.05309330516556078,0.0,0.03408351570399883,0.0,0.01600468551891849,0.01600468551891849,0.019864365317899427
INDOCHINA,0.0,0.0,0.0,0.0,10000000.0,0.0,1666666.6666666667
MAYBE,0.3418602067840693,0.0,0.3418602067840693,0.0,0.11676149848008678,0.0,0.13341365200803756
BALD,10000000.0,0.0,10000000.0,0.0,0.33333328888889485,0.33333328888889485,3333333.444444429
FUCKED,10000000.0,0.0,10000000.0,0.0,0.0,0.0,3333333.3333333335
IMAGES,0.2138846192910552,0.0,0.0,0.0,0.0,0.0,0.0356474365485092
LIKE,0.1979752553860594,0.0,0.08683015137199797,0.0,0.08683015137199797,0.0,0.06193925968834255
CHINESE,0.0,0.0,0.0,0.0,0.33333328888889485,0.0,0.05555554814814914
WILL,0.06408758586112998,0.0,0.02900861548441642,0.0,0.0,0.0,0.015516033557591067
THAN,0.09631626904724948,0.0,0.061392306739547466,0.0,0.04485114424290403,0.013675622414119369,0.03603922374063673
WITH,0.06762410359881897,0.0,0.025134837350286227,0.0,0.025134837350286227,0.011945029366836118,0.021639801277704592
WELL,0.08073709902091791,0.0,0.08073709902091791,0.0,0.03585260615539858,0.0,0.03288780069953907
INNOCENT,0.33333328888889485,0.0,0.33333328888889485,0.0,0.0,0.0,0.11111109629629828
CANT,0.5573302511045568,0.0,0.28399041180894713,0.1023748479884156,0.1023748479884156,0.1023748479884156,0.19140753447979178
BECAUSE,0.14441869852039796,0.0,0.0884470127632067,0.0,0.038937449429215544,0.0,0.04530052678547004
HAVE,0.07608414764815853,0.0,0.05950741872402021,0.013289911325084499,0.043502980185463176,0.043502980185463176,0.03931457301136493
TALK,0.09555999462765999,0.0,0.03470371829758651,0.0,0.01628278995892832,0.01628278995892832,0.02713821547385052
SHIT,0.5999999040000155,0.16515733592606066,0.5999999040000155,0.0,0.5999999040000155,0.0,0.32752617465435113
CANDIDATE,0.2138846192910552,0.0,0.0,0.0,0.0,0.0,0.0356474365485092
